2026-01-13 20:46:55.539; VERBOSE; GPUMode; 3764; 25512] [WindowProc] WM_TIMER
2026-01-13 20:46:55.539; VERBOSE; GPUMode; 3764; 25512] [WindowProc] wParam = m_uTimerCheckGraphic
2026-01-13 20:46:55.540; VERBOSE; GPUMode; 3764; 25512] [CheckShowGPUToast] Begin
2026-01-13 20:46:55.540; VERBOSE; GPUMode; 3764; 25512] [IsACMode] Begin
2026-01-13 20:46:55.540; VERBOSE; GPUMode; 3764; 25512] [UpdatePDStatus] Begin
2026-01-13 20:46:55.540; VERBOSE; GPUMode; 3764; 25512] [UpdatePDStatus] End, true
2026-01-13 20:46:55.540; VERBOSE; GPUMode; 3764; 25512] [IsACMode] End, False, m_currentPDStatus = 0
2026-01-13 20:46:55.540; VERBOSE; GPUMode; 3764; 25512] [CheckDisplayConnectStatus] Begin
2026-01-13 20:46:55.542; VERBOSE; GPUMode; 3764; 25512] [CheckDisplayConnectStatus] ATKCOMMAND_DISPLAY_CONNECT_STATUS Return : 10050
2026-01-13 20:46:55.542; VERBOSE; GPUMode; 3764; 25512] [CheckDisplayConnectStatus] HDMI1 on DGPU
2026-01-13 20:46:55.542; VERBOSE; GPUMode; 3764; 25512] [CheckDisplayConnectStatus] DP1 on DGPU
2026-01-13 20:46:55.542; VERBOSE; GPUMode; 3764; 25512] [CheckDisplayConnectStatus] End
2026-01-13 20:46:55.542; VERBOSE; GPUMode; 3764; 25512] [CheckDisplayConnectStatus] lastStatus: 0, pDisplayConnectStatus: 0
2026-01-13 20:46:55.542; VERBOSE; GPUMode; 3764; 25512] [CheckDisplayConnectStatus] End
2026-01-13 20:46:55.665; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:55.665; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:55.666; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:55.666; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:55.667; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:55.667; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:55.667; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:55.667; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:55.668; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:55.668; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:55.669; VERBOSE; GPUMode; 3764; 21704] [OnDeviceChange] Device type:5, DBT_DEVICEARRIVAL
2026-01-13 20:46:55.669; VERBOSE; GameLibraryPlugin; 3764; 32228] Device plugin
2026-01-13 20:46:55.878; VERBOSE; AuraPlugin; 3764; 12856] [AuraListener] *** WM_POWERBROADCAST, wParam=0x8013 ***
2026-01-13 20:46:55.878; VERBOSE; AuraPlugin; 3764; 12856] [AuraListener] *** PBT_POWERSETTINGCHANGE (wParam = 0x8013) ***
2026-01-13 20:46:55.880; VERBOSE; GPUMode; 3764; 25512] [CheckShowGPUToast] PowerStatus = 1
