2026-01-17 00:00:06.910; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:00:06.910; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:00:14.777; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 11
2026-01-17 00:00:14.790; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 11
2026-01-17 00:00:15.826; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:00:15.826; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:00:18.556; VERBOSE; StreamPlugin; 16480; 6348] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 13
2026-01-17 00:00:18.556; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 13
2026-01-17 00:00:26.882; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:00:26.882; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:00:34.787; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 12
2026-01-17 00:00:34.797; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 12
2026-01-17 00:00:35.830; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:00:35.830; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:00:38.561; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 14
2026-01-17 00:00:38.561; VERBOSE; StreamPlugin; 16480; 6348] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 14
2026-01-17 00:00:46.928; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:00:46.928; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:00:50.076; VERBOSE; AuraPlugin; 16480; 30460] [AuraListener] *** WM_POWERBROADCAST, wParam=0x8013 ***
2026-01-17 00:00:50.076; VERBOSE; AuraPlugin; 16480; 30460] [AuraListener] *** PBT_POWERSETTINGCHANGE (wParam = 0x8013) ***
2026-01-17 00:00:50.076; WARNING; AuraPlugin; 16480; 30460] [AuraListener] <BATTERY_PERCENTAGE_REMAINING>
2026-01-17 00:00:50.076; VERBOSE; AuraPlugin; 16480; 24080] AuraPlugin::OnPowerChange Begin
2026-01-17 00:00:50.076; VERBOSE; AuraPlugin; 16480; 24080] AuraPlugin::OnPowerChange End
2026-01-17 00:00:50.076; VERBOSE; DevicePlugin; 16480; 11748] DevicePlugin::OnPowerChange Begin
2026-01-17 00:00:50.076; VERBOSE; DevicePlugin; 16480; 11748] DevicePlugin::OnPowerChange End
2026-01-17 00:00:50.076; INFO; TBGraphicControl; 16480; 692] OnPowerChange start
2026-01-17 00:00:50.076; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] Begin, 32787, -40358304
2026-01-17 00:00:50.076; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] GUID_BATTERY_PERCENTAGE_REMAINING
2026-01-17 00:00:50.076; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] m_BatteryLifePercent = 57
2026-01-17 00:00:50.076; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] m_bBatteryAbove50 = 1
2026-01-17 00:00:50.076; VERBOSE; GPUMode; 16480; 32452] [OnPowerChange] End
2026-01-17 00:00:50.077; VERBOSE; UpdateCenter; 16480; 30464] UpdateCenter::OnPowerChange Begin
2026-01-17 00:00:50.077; VERBOSE; UpdateCenter; 16480; 30464] UpdateCenter::OnPowerChange End
2026-01-17 00:00:50.077; INFO; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, added sender, SN: 67, completed event: 0000000000001F9C
2026-01-17 00:00:50.077; VERBOSE; SystemFeature; 16480; 12784] OnPowerChange : 32787, -40358208
2026-01-17 00:00:50.077; VERBOSE; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, ready to send command packect, SN: 67
2026-01-17 00:00:50.077; INFO; SystemFeature; 16480; 12784] [ModernStandby] OnPowerChanged : PBT_POWERSETTINGCHANGE
2026-01-17 00:00:50.077; VERBOSE; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, send command packet, SN: 67
2026-01-17 00:00:50.078; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, sender event completed, SN: 67, completed event: 00000096E60FEA30
2026-01-17 00:00:50.078; INFO; StreamPlugin; 16480; 692] StreamPlugin::ConnectionHandler::SendCommand, removed sender, SN: 67, completed event: 0000000000001F9C
2026-01-17 00:00:50.078; INFO; TBGraphicControl; 16480; 692] OnPowerChange end result = 1, {
  Cmd:HandelPowerChanged,
  OnPowerChangedFromTB:32787,
}
2026-01-17 00:00:54.788; VERBOSE; StreamPlugin; 16480; 21492] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 13
2026-01-17 00:00:54.812; VERBOSE; StreamPlugin; 16480; 17260] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 13
2026-01-17 00:00:55.833; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:00:55.833; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:01:06.901; VERBOSE; ACLocalStateWatcher; 16480; 16172] Receive file change, bytesRead:62
2026-01-17 00:01:06.901; VERBOSE; ACLocalStateWatcher; 16480; 16172] filename:ArmouryCrate_20260116.logkgroundTask.log, index:-1
2026-01-17 00:01:10.083; VERBOSE; StreamPlugin; 16480; 33384] StreamPlugin::ConnectionHandler::ConnectionThread, received keep alive packet, SN: 15
2026-01-17 00:01:10.084; VERBOSE; StreamPlugin; 16480; 6348] StreamPlugin::ConnectionHandler::KeepAliveThread, send keep alive packet, SN: 15
