2026-01-18 17:13:21.265; VERBOSE; SystemFeature; 19224; 11900] OnDeviceChange : 32772
2026-01-18 17:13:21.265; VERBOSE; HWPlugin; 19224; 19432] HWPlugin::OnDeviceChange(): DBT_DEVICEREMOVECOMPLETE. 
2026-01-18 17:13:21.265; VERBOSE; GameLibraryPlugin; 19224; 11200] Device plugout
2026-01-18 17:13:21.268; INFO; StreamPlugin; 19224; 16008] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 0
2026-01-18 17:13:21.268; INFO; StreamPlugin; 19224; 29452] StreamPlugin::PostNotice, From ThrottleControl(0x02) to {467227BF-4B16-462A-8ABB-9BA331EE45DB}(1), notice[Cmd]: HandleOPModeChanged
2026-01-18 17:13:21.268; INFO; StreamPlugin; 19224; 29452] StreamPlugin::ConnectionHandler::SendResultThread, send reply packet, SN: 0
2026-01-18 17:13:21.271; INFO; StreamPlugin; 19224; 16008] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 1
2026-01-18 17:13:21.271; INFO; StreamPlugin; 19224; 30832] StreamPlugin::PostNotice, From ThrottleControl(0x02) to {4DC2157A-9687-45EB-982E-E5328E617509}(100), notice[Cmd]: ScenarioProfileReceiveServiceMessage
2026-01-18 17:13:21.271; VERBOSE; ScenarioProfile; 19224; 20544] ScenarioProfile::DoScenarioProfileReceiveServiceMessage_Notice Begin
2026-01-18 17:13:21.271; VERBOSE; ScenarioProfile; 19224; 20544] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage_Notice: Command : AppProfileChange
2026-01-18 17:13:21.271; VERBOSE; ScenarioProfile; 19224; 20544] (ProfileHelper)SetCache: Enter
2026-01-18 17:13:21.271; VERBOSE; ScenarioProfile; 19224; 20544] (ProfileHelper)SetCache: wait lock_guard
2026-01-18 17:13:21.271; VERBOSE; ScenarioProfile; 19224; 20544] (ProfileHelper)SetCache: pass lock_guard
2026-01-18 17:13:21.272; INFO; StreamPlugin; 19224; 30832] StreamPlugin::ConnectionHandler::SendResultThread, send reply packet, SN: 1
2026-01-18 17:13:21.272; VERBOSE; ScenarioProfile; 19224; 20544] (JsonHelper)LoadJsonFile: Enter
2026-01-18 17:13:21.273; VERBOSE; ScenarioProfile; 19224; 20544] (JsonHelper)LoadJsonFile: Finish
2026-01-18 17:13:21.273; VERBOSE; ScenarioProfile; 19224; 20544] (ProfileHelper)SetCache: AppTag :Operating_Mode_DC, AppType :Service_App, AppUID :{467227BF-4B16-462A-8ABB-9BA331EE45DB}, Mode :0, ModeKey :0,
2026-01-18 17:13:21.273; VERBOSE; ScenarioProfile; 19224; 20544] (JsonHelper)SaveJsonFile: Enter
2026-01-18 17:13:21.275; VERBOSE; ScenarioProfile; 19224; 20544] (JsonHelper)SaveJsonFile: Finish
2026-01-18 17:13:21.275; VERBOSE; ScenarioProfile; 19224; 20544] (ProfileHelper)SetCache: Finish
2026-01-18 17:13:21.275; VERBOSE; ScenarioProfile; 19224; 20544] ScenarioProfile::DoScenarioProfileReceiveServiceMessage_Notice End
