2026-01-20 19:56:51.213; INFO; SystemFeature; 24820; 23328] [ModernStandby] canHibernate : 0, m_isEnabled = 1, m_isDCMode = 1, m_isUnderHibernateCoolDown = 1, fastStartupUpTimeSec = 85799, resumeCDSec = 78226, m_isScreenOff = 0, m_isSuspend = 0
2026-01-20 19:56:51.213; INFO; SystemFeature; 24820; 23328] [ModernStandby] canHibernate : 0, {104}
2026-01-20 19:56:52.059; INFO; StreamPlugin; 24820; 18248] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 1
2026-01-20 19:56:52.059; INFO; StreamPlugin; 24820; 31884] StreamPlugin::PostNotice, From ThrottleControl(0x02) to {467227BF-4B16-462A-8ABB-9BA331EE45DB}(1), notice[Cmd]: HandleOPModeChanged
2026-01-20 19:56:52.060; INFO; StreamPlugin; 24820; 31884] StreamPlugin::ConnectionHandler::SendResultThread, send reply packet, SN: 1
2026-01-20 19:56:52.062; INFO; StreamPlugin; 24820; 18248] StreamPlugin::ConnectionHandler::ConnectionThread, received command packet, SN: 2
2026-01-20 19:56:52.063; INFO; StreamPlugin; 24820; 3380] StreamPlugin::PostNotice, From ThrottleControl(0x02) to {4DC2157A-9687-45EB-982E-E5328E617509}(100), notice[Cmd]: ScenarioProfileReceiveServiceMessage
2026-01-20 19:56:52.064; INFO; StreamPlugin; 24820; 3380] StreamPlugin::ConnectionHandler::SendResultThread, send reply packet, SN: 2
2026-01-20 19:56:52.064; VERBOSE; ScenarioProfile; 24820; 11624] ScenarioProfile::DoScenarioProfileReceiveServiceMessage_Notice Begin
2026-01-20 19:56:52.064; VERBOSE; ScenarioProfile; 24820; 11624] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage_Notice: Command : AppProfileChange
2026-01-20 19:56:52.064; VERBOSE; ScenarioProfile; 24820; 11624] (ProfileHelper)SetCache: Enter
2026-01-20 19:56:52.064; VERBOSE; ScenarioProfile; 24820; 11624] (ProfileHelper)SetCache: wait lock_guard
2026-01-20 19:56:52.064; VERBOSE; ScenarioProfile; 24820; 11624] (ProfileHelper)SetCache: pass lock_guard
2026-01-20 19:56:52.065; VERBOSE; ScenarioProfile; 24820; 11624] (JsonHelper)LoadJsonFile: Enter
